11.64%	524	179ms	1400	4503	1-NN	Fri Jan 25 00:35:42 2013
11.64%	524	193ms	1400	4503	1-NN	Fri Jan 25 00:38:36 2013
11.64%	524	180ms	1400	4503	1-NN	Fri Jan 25 01:06:43 2013
11.64%	524	178ms	1400	4503	1-NN	Fri Jan 25 01:07:08 2013
11.64%	524	178ms	1400	4503	1-NN	Fri Jan 25 01:37:43 2013
11.64%	524	188ms	1400	4503	1-NN	Fri Jan 25 01:42:34 2013
11.64%	524	204ms	1400	4503	1-NN	Fri Jan 25 01:57:20 2013
11.64%	524	177ms	1400	4503	1-NN	Fri Jan 25 02:02:27 2013
11.64%	524	182ms	1400	4503	1	kNN Fri Jan 25 02:05:05 2013
11.64%	524	183ms	1400	4503	1	kNN	Fri Jan 25 02:23:25 2013
11.64%	524	214ms	1400	4503	1	kNN	Fri Jan 25 02:30:30 2013
11.64%	524	213ms	1400	4503	1	kNN	Fri Jan 25 02:34:03 2013
11.64%	524	183ms	1400	4503	1	kNN	Fri Jan 25 02:34:30 2013
11.64%	524	178ms	1400	4503	1	kNN	Fri Jan 25 15:13:50 2013
11.64%	524	178ms	1400	4503	1	kNN	Fri Jan 25 15:16:52 2013
11.64%	524	186ms	1400	4503	1	kNN	Fri Jan 25 15:18:41 2013
11.64%	524	1713ms	1400	4503	1	kNN	Fri Jan 25 18:16:08 2013
10.35%	466	117357ms	1400	4503	9	kNN	Fri Jan 25 18:18:45 2013
72%	18	1ms	200	25	9	kNN	Fri Jan 25 18:30:28 2013
72%	18	1ms	200	25	9	kNN	Fri Jan 25 18:32:11 2013
10.13%	456	202ms	1400	4503	5	kNN	Fri Jan 25 19:08:47 2013
42.59%	1918	17143ms	1400	4503	5	kNN	Fri Jan 25 20:44:49 2013
42.59%	1918	1398ms	1400	4503	5	kNN	Fri Jan 25 20:44:58 2013
100%	1	0ms	30	1	3	kNN	Fri Jan 25 22:24:32 2013
100%	1	0ms	30	1	3	kNN	Fri Jan 25 23:01:24 2013
100%	1	0ms	30	1	3	kNN	Fri Jan 25 23:01:32 2013
10.08%	454	227ms	1400	4503	3	kNN	Fri Jan 25 23:01:55 2013
